
 0.00000 0.00000 -0.00495
 0.00000 2.25000 0.00194
 0.00000 4.50000 0.00565
 0.00000 6.75000 0.00540
 0.00000 9.00000 0.00290
 0.00000 11.25000 0.00169
 0.00000 13.50000 0.00289
 0.00000 15.75000 0.00430
 0.00000 18.00000 0.00584
 2.25000 0.00000 0.00528
 2.25000 2.25000 0.00712
 2.25000 4.50000 0.00391
 2.25000 6.75000 0.00326
 2.25000 9.00000 0.00340
 2.25000 11.25000 0.00190
 2.25000 13.50000 0.00020
 2.25000 15.75000 -0.00229
 2.25000 18.00000 -0.00671
 4.50000 0.00000 0.01167
 4.50000 2.25000 0.01540
 4.50000 4.50000 0.00734
 4.50000 6.75000 0.00343
 4.50000 9.00000 0.00321
 4.50000 11.25000 0.00232
 4.50000 13.50000 0.00229
 4.50000 15.75000 0.00230
 4.50000 18.00000 -0.00088
 6.75000 0.00000 0.00076
 6.75000 2.25000 0.01146
 6.75000 4.50000 0.00473
 6.75000 6.75000 0.00047
 6.75000 9.00000 0.00155
 6.75000 11.25000 0.00353
 6.75000 13.50000 0.00573
 6.75000 15.75000 0.00683
 6.75000 18.00000 0.00610
 9.00000 0.00000 -0.00648
 9.00000 2.25000 0.00617
 9.00000 4.50000 0.00113
 9.00000 6.75000 -0.00282
 9.00000 9.00000 -0.00035
 9.00000 11.25000 0.00445
 9.00000 13.50000 0.00707
 9.00000 15.75000 0.00625
 9.00000 18.00000 0.00812
 11.25000 0.00000 0.00133
 11.25000 2.25000 0.00667
 11.25000 4.50000 0.00068
 11.25000 6.75000 -0.00397
 11.25000 9.00000 -0.00219
 11.25000 11.25000 0.00306
 11.25000 13.50000 0.00469
 11.25000 15.75000 0.00205
 11.25000 18.00000 0.00799
 13.50000 0.00000 0.00591
 13.50000 2.25000 0.00314
 13.50000 4.50000 -0.00043
 13.50000 6.75000 -0.00269
 13.50000 9.00000 -0.00159
 13.50000 11.25000 0.00233
 13.50000 13.50000 0.00207
 13.50000 15.75000 -0.00246
 13.50000 18.00000 0.00552
 15.75000 0.00000 0.00043
 15.75000 2.25000 -0.00345
 15.75000 4.50000 -0.00046
 15.75000 6.75000 0.00117
 15.75000 9.00000 0.00158
 15.75000 11.25000 0.00405
 15.75000 13.50000 0.00281
 15.75000 15.75000 -0.00349
 15.75000 18.00000 0.00190
 18.00000 0.00000 0.00743
 18.00000 2.25000 0.00471
 18.00000 4.50000 0.00692
 18.00000 6.75000 0.00330
 18.00000 9.00000 -0.00182
 18.00000 11.25000 0.00021
 18.00000 13.50000 0.00373
 18.00000 15.75000 0.00210
 18.00000 18.00000 0.00621

